,_id,Name,Sell,Shadow,Total Catches to Unlock,Spawn Rates,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename
18,80.0,coelacanth,15000.0,XX-Large,100.0,1–2,2x1,Yes,"The coelacanth is a deep-sea fish that has been around since the age of the dinosaurs. They were long thought extinct, so when living specimens were discovered, it was quite a shock! Now I'll just have to figure out where in the museum to display it— fish or fossils!",Blast from the past! I caught a coelacanth! Think positive! Be a coela-CAN!,71.0,Pet,Black,Black,Fluorescent,Fish63
19,11.0,crawfish,200.0,Small,0.0,4–12,1x1,No,"Ohoo! So you have found a crawfish. Neither crab nor lobster, crawfish evolved in an interesting manner. Beware their fearsome pinchy pinchers! Behold their many legs! I say! It is a big bug-like, eh wot...The more I look at it, the more unsettled I feel... Let's be done with this and never speak of it again, shall we?",I caught a crawfish! Or else it's a lobster and I'm a giant!,71.0,Pet,Red,Black,Fluorescent,Fish10
20,3.0,crucian carp,160.0,Small,0.0,4–12,1x1,Yes,"I wonder... Do you know how to tell the difference between a crucian carp and a standard-issue carp? It's quite easy to tell the two apart... One must simply locate the barbels. Or, rather, the lack of them! And just what is a barbel, you ask? Well, a barbel looks a little something like a mustache. A run-of-the-mill carp will sport this unsightly ""facial hair,"" while a crucian carp is considerably better groomed! I tried to grow a mustache when I was younger. It never did fill in quite right... All for the best in the end, as mustaches go so much better with noses than with beaks!",I caught a crucian carp! My skills are sharp!,71.0,Pet,Brown,Black,Fluorescent,Fish2
21,61.0,dab,300.0,Medium,0.0,11–14,1x1,Yes,"The dab is a flatfish that bears some resemblance to the olive flounder, though their mouths are different. Personally, I am morbidly fascinated by each fish's eye placement. The dab's eyes are both on its right side, while the olive flounder's are on the left. These fish spend lots of time lying on their sides in the sand, so the odd eye placement makes some sense... But its-how can I put this? Creepy? Viscerally disturbing? Profoundly upsetting to fans of symmetry?",I caught a dab! Not bad!,71.0,Pet,Brown,Black,Fluorescent,Fish50
22,4.0,dace,240.0,Medium,0.0,3–10,1x1,Yes,"Dace are shiny little fish that enjoy freshwater streams with gravelly bottoms and plenty of sunlight. What a fishy paradise...until the larger fish move in and begin eating the dace! Sadly, the shiny dace are easy for other fish to spot, which makes them a popular snack. However, this particular specimen here has no need to worry. There's a strict ""No Eating Your Neighbor"" policy at this institution.",I caught a dace! Hope I have some space!,71.0,Pet,Brown,Black,Fluorescent,Fish3
23,42.0,dorado,15000.0,X-Large,100.0,1–2,2x1,Yes,"Woo-hoo! So shiny! This massive fish's name, dorado, means ""golden"" in Spanish— a fitting title. They are also quite valuable, I understand. I congratulate you on your top-notch angling! They are rather large, eh wot? It makes one wonder what all they might feed on... Fowl, perhaps?! One quivers at the very thought! Well, it'll be safe behind glass, no doubt. Quite safe, hoo","I caught a dorado! I say ""dorado,"" you say ""doraydo.""",71.0,Pet,Yellow,Black,Fluorescent,Fish34
24,77.0,football fish,2500.0,Large,20.0,6,2x1,Yes,The football fish is a strange and grotesque deep-sea fish with a lantern-like light on its forehead. Its light is apparently powered by luminous bacteria and other glowing microorganisms. One theory says it can spray these luminescent sidekicks when prey approaches in order to dazzle them...The deep contains many mysteries...as well as some things that are just sort of odd and off-putting.,I caught a football fish! Some countries call it a soccer fish!,71.0,Pet,Black,Black,Emission,Fish56
25,16.0,freshwater goby,400.0,Small,0.0,2–5,1x1,Yes,"The freshwater goby is an unassuming specimen. But beneath that calm, fish exterior, true gluttony resides! It will eat anything that will fit in its mouth...And its mouth is quite the gaping maw, so I recommend you refrain from drawing attention to yourself!",I caught a freshwater goby! Time to go bye-bye!,71.0,Pet,Brown,Black,Fluorescent,Fish12
26,15.0,frog,120.0,Small,0.0,7–9,1x1,No,"I understand that frogs converse with fellow frogs through a number of varied calls, as it were. Ribbit! My prince has arrived! Gribbit riiibbit! This pond is tragic! Ribbity rib't! I think you're splendid! Hoo hoo, of course I have no clue what they're saying, but I like to think if I practice enough, I might!",I caught a frog! Or it's a new neighbor...and I have some apologizing to do.,71.0,Pet,Green,Black,Fluorescent,Fish11
27,43.0,gar,6000.0,X-Large,50.0,1–2,2x1,Yes,"Hoo hoo! So you have snagged a gar. Did you know this beastly fish can grow up to nine feet long? Indeed, the gar is a remnant of times long past— a living fossil, if you will. It not only has sharp teeth and armor-like scalesn, it has the ability to take breaths of air as well! Ah, to look upon this unusual fish is to get a glimpse of our prehistoric past.",I caught a gar! Yar! It's a gar! Har har!,71.0,Pet,Brown,Black,Fluorescent,Fish35
28,19.0,giant snakehead,5500.0,Large,50.0,2,2x1,Yes,"The giant snakehead is quite a sight to behold, wot! One glance conjurs up visions of its namesake. This resilient creature can even find a home in the mud, where it is able to breathe. As a matter of fact, it dislikes cold weather, so during wintertime the mud serves as its temporary home. I hear that they eat anything that swims past their head. While odd, I feel a sense of owlship with them.",I caught a giant snakehead! Um...but I asked for a medium?,71.0,Pet,Black,Black,Fluorescent,Fish16
29,68.0,giant trevally,4500.0,X-Large,20.0,1,2x1,Yes,"The giant trevally, as befits its name, can reach six feet in length and 180 pounds! Its size and strength have made it a favored opponent for anglers since time immemorial. They are also ingenious hunters, sometimes taking advantage of other predators to distract their prey. There have even been documented cases of them attacking —gulp— birds.","I caught a giant trevally! Yeah, I'm pretty well-trevalled.",71.0,Pet,Black,Black,Fluorescent,Fish70
30,29.0,golden trout,15000.0,Medium,100.0,1,1x1,Yes,"The golden trout is a beautifully colored fish that can only live in very clean waters. They are difficult to come across since they are found only in high mountain streams. As a side note, I find it much easier to appreciate fish that aren't such prima donnas about everything.",I caught a golden trout! But the real treasure? Friendship.,71.0,Pet,Brown,Black,Fluorescent,Fish79
31,7.0,goldfish,1300.0,X-Small,0.0,1–4,1x1,No,"Goldfish are so cute and delicate... but do you know how big they can get? Why, they can grow up to... a foot in length! Well, sometimes. The size of the tank they're kept in tends to restrict their growth. And just how big will this goldfish get in our large museum tank? I look forward to finding out!",I caught a goldfish! It's worth its weight in fish!,71.0,Pet,Red,Light blue,No lighting,Fish7
32,74.0,great white shark,15000.0,X-Large w/Fin,50.0,2,3x2,No,"Great white sharks are obviously known first and foremost for their biting. They are masters of the craft! They do lose teeth regularly through biting-related activities, but, luckily, those teeth grow back quickly. In fact, their missing teeth can be regrown in a single day. Just imagine their tooth-fairy-related income!",I caught a great white shark! Watch out for its jaws!,71.0,Pet,Blue,Blue,No lighting,Fish62
33,34.0,guppy,1300.0,X-Small,0.0,2–3,1x1,No,"Oh my! Would you look at that! Such a beautiful, snazzy little fellow that guppy is! The shape and coloration of guppy fins are all unique. Quite eye-catching, I must say. Do you imagine they host contests for ""most snazzy""? And...do you suppose I might receive an invite?","I caught a guppy! Welcome to the team, newbie!",71.0,Pet,Blue,Black,Fluorescent,Fish29
34,73.0,hammerhead shark,8000.0,X-Large w/Fin,20.0,1,2x1,Yes,"The hammerhead shark is known for its distinctive, hammer-shaped head, hence the name. Er, obviously. Anyhoot, this oddly shaped head allows the beast to see 360 degrees around itself, from top to bottom. Imagine being able to see so widely! You could check for untied shoelaces AND imminent rain simultaneously!",I caught a hammerhead shark! I hit the nail on the head!,71.0,Pet,Black,Black,Fluorescent,Fish61
35,57.0,horse mackerel,150.0,Small,0.0,14–21,1x1,Yes,"Supposedly the horse mackerel derives its name from a-false-myth about its strengh as a swimmer. The gist of it is that these fish are so powerful underwater that smaller fish can ride them as steeds! It's absurd, of course. Where would these alleged fish jockeys attach a saddle, much less horseshoes? One does wish that people would construct their legends with a BIT more scientific plausibility!","I caught a horse mackerel! Of course, Mack...er...el.",71.0,Pet,Blue,Black,Fluorescent,Fish46
36,10.0,killifish,300.0,X-Small,0.0,3–4,1x1,No,"Ah, the magnificent killifish! Did you know there are over 1,000 different species? My own favorite killifish species are the mangrove, which can live on land for weeks, breathing air! And the mummichog, the first fish ever brought to space. I wonder if the killifish you've brought me is related to either those intrepid explorers?",I caught a killifish! The streams are safe again.,71.0,Pet,Yellow,Black,Fluorescent,Fish9
37,32.0,king salmon,1800.0,X-Large,20.0,5,2x1,Yes,"The king salmon didn't get its name for nothing.This stately fish can weigh in at up to 130 pounds! It's clear why it's referred to as the king of salmon. I imagine even the mightiest net can catch no more than a few at a time.I must say it's a miracle to me that you didn't get dragged out to sea by this one, wot!",WOO-HOO! I caught a King salmon! Checkmate!,71.0,Pet,Gray,Black,Fluorescent,Fish28
38,6.0,koi,4000.0,Large,20.0,1–4,1x1,Yes,"Koi are a variety of carp bred for their color mutations...starting more than a thousand years ago! Well, one glance at their impressive coloring tells you that the centuries of effort were worth it. And even today people still selectively breed koi in search of new color combinations! One marvels at the thought of what the koi may look like in another thousand years.",I caught a koi! I don't know why it's so shy... or such a bad speller...,71.0,Pet,Red,White,Fluorescent,Fish6
39,17.0,loach,400.0,Small,0.0,12–16,1x1,No,"Loaches are a large group of bottom-feeding freshwater fish. Because there are so many species, it is difficult to generalize about them all. The one thing they all have in common is perhaps their most unappealing trait; the name 'loach.' Repellent, isn't it? They should have just called it the 'cockloach' and been done with it, eh wot! Loach...loach... It just tastes terrible in the beak.",I caught a loach! It's...looking at me with reproach.,71.0,Pet,Brown,Blue,No lighting,Fish13
40,69.0,mahi-mahi,6000.0,X-Large,50.0,1,2x1,Yes,"The mahi-mahi is an ocean fish known for its wide, somewhat-cute face. It can reach over six feet long. It is known by different names including ""dolphinfish,"" even though it has no relation to dolphins. They live in only in warm, tropical waters...which perhaps explains the relaxed, happy look on their faces.",I caught a mahi-mahi! It's all mahine-mahine.,71.0,Pet,Yellow,Black,Fluorescent,Fish82
41,33.0,mitten crab,2000.0,Small,20.0,3–5,1x1,No,"The mitten crab was named for its impossibly adorable and fuzzy little pincers. These cute crustaceans embark on quite the journey. They're first born in brackish waters. Then they mature in freshwater. Finally, they travel to the ocean to create more mitten crabs!Hoo! How I delight in the thought of thousands of tiny mittened crabs scuttling about!",I caught a mitten crab! One more and I'm ready for winter!,71.0,Pet,Black,Blue,No lighting,Fish66
42,64.0,moray eel,2000.0,Long,20.0,2,2x1,Yes,"Despite its rather frightening features, the moray eel is really a very cowardly fish. It lives its life hiding in caves, and will only attack if you're looking for a fight. You've heard of a ""bark that is worse than the bite""? Well, the moray eel has a face that's worse than its fight!","I caught a moray eel! When you're in love, that's a moray!",71.0,Pet,Brown,Black,Fluorescent,Fish55
43,52.0,Napoleonfish,10000.0,XX-Large,50.0,1,2x1,Yes,"Quite the catch you've brought! The stately and debonair Napoleonfish is truly something to behold. Those beady eyes! That bumpy head! That bold blue-green coloring! Alas, this quirky creature is quite endangered due to a variety of factors. Needless to say, we must do our very best to take care of our lumpy friend and its environment.",I caught a Napoleonfish! It's not as big as it thinks!,71.0,Pet,Light blue,Black,Fluorescent,Fish43
44,38.0,neon tetra,500.0,X-Small,0.0,2–3,1x1,No,"Hoo! Wonderful! The neon tetra is truly a marvel of the tropical-fish world. Just look at how tiny it is! And how very filled with...neon! I imagine its environment must be just as flashy as it is for it to have developed such colors. I wonder how flashy I might be, had I been raised somewhere even half as vibrant?",I caught a neon tetra! Wasn't hard to track.,71.0,Pet,Light blue,Black,Fluorescent,Fish31
45,35.0,nibble fish,1500.0,X-Small,20.0,2,1x1,No,Nibble fish are best known for their use in a certain skin treatment. This treatment has apparently been used for thousands of years. I have never experienced said treatment because they eat your dead skin with their little toothless mouths! Can you imagine anything so repellent?! Please don't ask me any follow-up questions. Hoo.,"I caught a nibble fish! Come to think of it, I could use a bite!",71.0,Pet,Brown,Blue,No lighting,Fish67
46,78.0,oarfish,9000.0,XX-Large,50.0,1,3x2,No,"The oarfish is a long, eel-like fish that can supposedly reach up to 36 feet in length. They appear in various legends as things like messengers of the gods. It seems to me a creature like that could explain the myth of massive, ship-crushing sea serpents. It is, of course, well documented that people tend to exaggerate the size of ""the one that got away"".",I caught an oarfish! I hope I catch morefish!,71.0,Pet,Red,Blue,No lighting,Fish69
47,70.0,ocean sunfish,4000.0,X-Large w/Fin,20.0,1,2x2,No,"The ocean sunfish is a large relative of the blowfish with an unusual shape, like a fish head with a tail. They are a fairly relaxed species, often content to ride where the currents take them. This is fortunate as, otherwise, the sight of a large head coming toward you might be alarming!",I caught an ocean sunfish! Good thing I'm wearing ocean sunscreen!,71.0,Pet,Blue,Orange,No lighting,Fish60
48,62.0,olive flounder,800.0,X-Large,0.0,4–6,2x1,Yes,"Did you know that the olive flounder is the same shape as other fish when it hatches? But as it grows, it gets both wider and flatter, and can reach some three feet long. These flat fish spend much of their lives buried under the sandy ocean floor, waiting for prey to happen by. Imagine the surprise for said prey when they strike. It would be as if your kitchen floor were to bite you.",I caught an olive flounder! That's not the pits!,71.0,Pet,Beige,Black,Fluorescent,Fish51
49,2.0,pale chub,200.0,X-Small,0.0,6–9,1x1,No,"The pale chub is a river fish with simple back-and-silver coloring. Interestingly, the males' coloring becomes most vibrant when he's trying to attract a mate! Though normally plain, these fellows really know how to look stylish when they want to. Perhaps I could learn a thing or two from the pale chub...",I caught a pale chub! That name seems a bit judgy...,71.0,Pet,Blue,Blue,No lighting,Fish1
50,24.0,pike,1800.0,X-Large,20.0,1–2,2x1,Yes,"The pike has always reminded me a bit of salmon, although a pike can grow rather larger. These brutes can grow to over four feet long, sometimes MUCH over! Hoo hoo! It is carnivorous and preys not only on other fish, but also mammals and some waterfowl. If I were to ever meet one in the water, I would have a most difficult time keeping my wits about me.",I caught a pike! Think a swordfish would be up for a duel?,71.0,Pet,Green,Black,Fluorescent,Fish20
51,40.0,piranha,2500.0,Small,20.0,1–3,1x1,Yes,"I am not exactly a fan of the piranha, despite knowing that they're mostly harmless. But those nasty, pointy teeth, Hoo. These infamous little blighters will attack when in groups. Imagine all of those hundreds of tiny teeth! To think that they're floundering about our peaceful waters, just waiting to strike. Well, never fear— I shall keep THIS one under the strictest lock and key, with nary a bathroom break allowed!",I caught a piranha! Sure hope it was the only one!,71.0,Pet,Green,Black,Fluorescent,Fish32
52,25.0,pond smelt,400.0,Small,0.0,18–20,1x1,No,"For many, thinking of pond smelt inevitably leads to thoughts of ice fishing in frozen rivers and lakes. Ice fishing involves making a round hole in the ice, dropping in your fishing line, and...waiting. Not to rain on anyone else's idea of fun, but...well, perhaps I shouldn't say anything.",I caught a pond smelt! Whoever smelt it dealt it!,71.0,Pet,Orange,Blue,No lighting,Fish21
53,8.0,pop-eyed goldfish,1300.0,X-Small,0.0,1–2,1x1,No,"Pop-eyed goldfish have, as the name suggests, huge round eyes. But as babies they look like other goldfish! As they grow, their eyes begin to pop out and they gain their, hoo, distinct appearance... Imagine the poor fish fancier who unknowingly bought one! Their eyes might well pop out just as far!",I got a pop-eyed goldfish! It looks so...surprised!,71.0,Pet,Black,Light blue,No lighting,Fish8
54,55.0,puffer fish,250.0,Medium,0.0,7–8,1x1,Yes,"Like its cousin the blowfish, when the puffer fish feels threatened it inflates into a spiky balloon. The biggest difference between them is that the puffer fish is not deadly poisonous like its kin. So while it may look scary, the substantially reduced risk to life and limb makes it much better company.","I caught a puffer fish! I thought you would be tougher, fish!",71.0,Pet,Beige,Black,Fluorescent,Fish45
55,39.0,rainbowfish,800.0,X-Small,0.0,2–3,1x1,No,"The rainbowfish is a tropical fish known for its metallic colors and beautiful fins. There are over 50 different species, each unique and pleasing color. I must say, it does make me wish for feathers of a more exciting hue than ""underbaked brownie.""",I caught a rainbowfish! Where's my pot of goldfish?,71.0,Pet,Orange,Black,Fluorescent,Fish80
56,9.0,ranchu goldfish,4500.0,Small,20.0,1–2,1x1,No,"The ranchu goldfish is a charming relative of the goldfish with a bumpy head and stout, round body. They have ordinary heads when born, but develop impressive rectangular heads after about three years. Supposedly their head shape changes depending on factors like the size of their tank... So ranchu goldfish enthusiasts aim to raise perfectly shaped specimens and work hard to achieve this. Of course, no one asks the ranchu goldfish themselves what shape they want their heads to be...",I caught a ranchu goldfish! But I prefer balsamicu goldfish!,71.0,Pet,Red,Black,No lighting,Fish85
57,71.0,ray,3000.0,X-Large,20.0,2,2x1,Yes,"The ray is an unusually shaped fish with a flat body and a long body, somewhat related to sharks. Seen from the bottom, the mouth on its stomach appears to be smiling, which is objectively adorable. But be cautious—unlike most cute animals, some rays are extremely venomous. BEWARE THE SMILE.",I caught a ray! A few more and I'll have a tan!,71.0,Pet,Brown,Black,Fluorescent,Fish59
58,60.0,red snapper,3000.0,Large,0.0,5–7,1x1,Yes,"Red snapper' is the common name of dozens of fish species, and I wonder why it is so popular. Are there so many types of fish that are both a shade of red and have a tendency to snap? Were there no other names? What about 'burgundy biter'? 'Garnet grasper'? 'Puce pincher'?",I caught a red snapper! It looks pretty dapper!,71.0,Pet,Red,Black,Fluorescent,Fish49
59,65.0,ribbon eel,600.0,Long,0.0,2,2x1,Yes,"The ribbon eel is related to the moray eel, though its bright coloration distinguishes it. It also has an unusual plant-like appendage at the tip of its nose that flutters as the creature moves. I like to think of it as having an extremely friendly nose that waves a greeting to those nearby!",I caught a ribbon eel! Can it tie itself into a bow?,71.0,Pet,Blue,Black,Fluorescent,Fish71
60,45.0,saddled bichir,4000.0,Large,20.0,1,2x1,Yes,"What an elegant specimen you've found. The saddled bichir has a look entirely its own. They have poor eyesight, so they use their fine-tuned sniffers to seek out prey. Can you imagine relying solely on your sense of smell to find food? And if one nostril became clogged, would you be unable to tell how far away the scent was?",Wow! A saddled bichir! And me without my tiny riding crop...,71.0,Pet,Brown,Black,Fluorescent,Fish68
61,31.0,salmon,700.0,Large,0.0,20,2x1,Yes,"Ah, salmon! Did you know their coloration is due specifically to their diet? Indeed, this is the case! The more they fill their diet with crustaceans such as krill and shrimp, the deeper shade of pink they are. If they ate a bushel of carrots, might they turn orange?",I caught a salmon! It's all upstream from here!,71.0,Pet,Brown,Black,Fluorescent,Fish27
62,72.0,saw shark,12000.0,X-Large w/Fin,50.0,1,2x1,Yes,"As you might expect from the name, the saw shark is a shark with a head that resembles a saw. This unusual appendage is used both to dig potential prey out of the sand and as a weapon against said prey. Given that, it seems like a more appropriate name would have been ""shovel-sword shark,"" eh wot?",I caught a saw shark! You could call it a sea saw!,71.0,Pet,Brown,Black,Fluorescent,Fish74
63,59.0,sea bass,400.0,X-Large,0.0,11–18,2x1,Yes,"Sea bass is a name given to a variety of different species of saltwater fish. They are a varied bunch with some as small as four inches and some as staggeringly ginormous as eight feet! 'Sea bass' is a bit pedestrian though. Many species have better names, such as 'redbanded perch.' Or the delightfully whimsical dusky grouper! Or the potato cod! WILL NO ONE THINK OF THE PINK MAOMAO?!","I caught a sea bass! No, wait- it's at least a C+!",71.0,Pet,Gray,Black,Fluorescent,Fish48
64,47.0,sea butterfly,1000.0,X-Small,0.0,10–11,1x1,No,"Such mystery! Such grace! Did you know that the sea butterfly's scientific name is Thecosomata? A very rough translation of that is 'shell body.' Indeed, this illustrious creature is related to snails! However, it reminds me much more of an elegant feathered friend, the way it flies through the water. With such grace in flying, one shouldn't wonder if it's related to the owl, hoo hoo!",I caught a sea butterfly! Try not to confuse it for a sea moth!,71.0,Pet,White,Black,Fluorescent,Fish37
65,48.0,sea horse,1100.0,X-Small,0.0,5–7,1x1,No,"Ah, a favorite of mine, to be sure! The sea horse is such a very unique creature and is indeed a fish! Though, as far as fish go, sea horses are not great swimmers. The sea horse, you see, has but a wee fin on its back, which propels it through water rather poorly. Thus these fish are often found using their prehensile tails to hold tight in amongst the sea grass. And here's one final fact for you... Sea horses have no stomach and so must constantly feed to stay alive! Indeed, the life of a land horse sounds far easier than that of the hardworking horse of the sea.",I caught a sea horse! But...where's its sea jockey?,71.0,Pet,Orange,Black,Fluorescent,Fish39
66,13.0,snapping turtle,5000.0,Large,0.0,2–3,1x1,No,"The snapping turtle is a large turtle known for it's crocodile-like body and long claws. No, wait-- it is better known for it's ferocious bite, which it can deliver with shocking speed for a turtle. NO, WAIT-- it is BEST known for that time one chased me across a parking lot and I had to climb on top of a car.",I caught a snapping turtle! How can it snap without fingers?,71.0,Pet,Brown,Black,No lighting,Fish78
67,12.0,soft-shelled turtle,3750.0,Large,20.0,4,1x1,No,"These relatives of common turtles will not let go when they decide to bite down on something. Although they can be quite shy, they will become a bit aggressive when threatened. They are often found in water and are very good swimmers because of the flat shape of their shells. They swim with their snouts over the surface of the water so they can breathe. Soft-shelled turtles aren't safe to hold because they are so prone to biting at the slightest movement. However, if one bites down on you, it will usually let go when you put it safely back in the water.",I caught a soft-shelled turtle! It's more sensitive than other turtles.; I caught a soft-shelled turtle! I should take a shellfie!,71.0,Pet,Green,Black,No lighting,Fish65
68,63.0,squid,500.0,Medium,0.0,7–10,1x1,Yes,"Well, first off, squids are members of the mollusk family, just like the octopus. Many mollusks like snails and clams have shells, but the squid's body is almost completely soft. The exception is a long, narrow bit of hard material going through its main body - the last remnant of its shell. Of course, having your shell INSIDE is not a best practice. Perhaps they lost the owner's manual!","I caught a squid! It's off the hook!; I caught a squid! I had an inkling I might!; I caught a squid! Do they... not actually ""bloop""?",71.0,Pet,Beige,Black,Fluorescent,Fish52
69,30.0,stringfish,15000.0,X-Large,100.0,1,2x1,Yes,"The stringfish grows slowly, but also lives quite a long time for a fish, with up to 15 years being typical. Consequently, while it takes a while, they can get quite large-perhaps even up to six feet long! The stringfish is perhaps the best embodiment in the fish world of 'slow and steady wins the race'",OH MY GOSH! I caught a stringfish! Five more and I'll have a guitarfish!,71.0,Pet,Brown,Black,Fluorescent,Fish26
70,46.0,sturgeon,10000.0,XX-Large,20.0,1–4,2x1,Yes,"The sturgeon is a large and long-lived fish which has changed little in the last 300 million years. One curious behavior of theirs is leaping high out of the water and falling back in on their sides. The smacking sounds of their re-entry can be heard for up to half a mile away, likely more underwater! No one knows why they do it, but I like to think it's their impression of bread popping out of a toaster!",I caught a sturgeon! Wonder if it can perform sturgery...,71.0,Pet,Black,Black,Fluorescent,Fish75
71,76.0,suckerfish,1500.0,X-Large w/Fin,20.0,2,1x1,Yes,"The suckerfish is a curious fish that likes to attach itself with its sucker mouth to larger marine animals. The benefit to the suckerfish is that it gets to eat smaller parasites and dead skin off the host's body. Amusingly, some people have used suckerfish on cords to catch large turtles with the fish's own suction! I imagine this practice is the cause of some awkward conversations between fish and turtle, eh wot","I caught a suckerfish! I thought it was a shark! Oh, wait - now I get it. ""Sucker""...",71.0,Pet,Black,Black,Fluorescent,Fish83
72,50.0,surgeonfish,1000.0,Small,0.0,2,1x1,No,"Hoo! Careful, now! These fish are particularly dangerous, despite their seemingly docile appearance. With its saturated blue and yellow tones, the surgeonfish is quite breathtaking. It's got to keep up with all the other vibrant fish that live in the coral too, I wager. Quite the competition! Its spine is sharp as a blade, so care must be taken when handling these beauties...",I caught a surgeonfish! Scalpel! Forceps! Fish hook!,71.0,Pet,Blue,Black,Fluorescent,Fish41
73,26.0,sweetfish,900.0,Medium,0.0,5–10,1x1,Yes,"Sweetfish are the damp heralds of summer! These slippery fellows appear in numbers when it warms up. They hatch in a river, then swim to the ocean. Once mature, they return to the river where they were born. But when they return depends on the river temperature— if it's too cold their fishing season will start later. Some even say summer can't start without sweetfish despite the KEY role played by the earth's axial tilt!",I caught a sweetfish! Hope it's not artificially sweet!,71.0,Pet,Green,Black,Fluorescent,Fish22
74,14.0,tadpole,100.0,X-Small,0.0,5–6,1x1,No,"Undoubtedly you know that tadpoles eventually turn into frogs. I must say, I find them impossibly adorable with their squiggly little tails. But even cuter... when they sprout legs! Why, we can witness accelerated evolution in these squirmy little ones. Hoo, it makes me so emotional!",I caught a tadpole... It's just a tad small.,71.0,Pet,Black,Blue,No lighting,Fish64
75,23.0,tilapia,800.0,Medium,0.0,7–9,1x1,Yes,"Wherever the waters are warm, the tilapia can be found. It is a highly adaptable river fish. They mainly feed on algae, but they will also eat larvae and dead fish— or whatever fits in their mouths. I will confess that, as a growing owlet, I similarly defined food as 'anything that fits in my beak.'",I caught a tilapia! It makes me happy-a!,71.0,Pet,Black,Black,Fluorescent,Fish76
76,66.0,tuna,7000.0,XX-Large,50.0,2,2x1,Yes,"The tuna is a large ocean fish that can reach upwards of nine feet long. Besides its great size, it's notable for continuing to swim even when it's sleeping! Well, to be fair, if it doesn't keep swimming, it won't be able to breathe and will of course die... But sleep should be restful, eh wot! If I were the tuna I would feel very hard done by!",I caught a tuna! It's a little off-key!,71.0,Pet,Blue,Black,Fluorescent,Fish57
77,75.0,whale shark,13000.0,X-Large w/Fin,50.0,1,3x2,No,"The mighty whale shark is the largest species of fish in the world with specimens up to 60 feet long! Unlike many of their kin in the shark family, whale sharks are nonviolent, eating only plankton and such. They grow slowly and live long, relaxed lives of filter feeding and leisure in warm waters. So if you ever have to choose a fish as a roommate, you could do worse than the whale shark. Unless you can't swim.","Thar she blows! I caught a whale shark! I'm tellin' ya, it was thiiiiiiiiiiiiiiiiiiiis big!",71.0,Pet,Black,Blue,No lighting,Fish72
78,21.0,yellow perch,300.0,Medium,0.0,7–10,1x1,Yes,"The yellow perch is certainly worth squawking about. I find it a sight to behold! That jagged dorsal fin! Those brilliant stripes! Those glorious colours! Hoo, truly it is quite the specimen. I would be thrilled to witness it firsthand in its natural environment... But the yellow perch's peak season is winter, I'm afraid. (So very afraid... of winter's biting chill...)",I caught a yellow perch! Those yellow birds have to sit somewhere!,71.0,Pet,Yellow,Black,Fluorescent,Fish18
79,53.0,zebra turkeyfish,500.0,Medium,0.0,6–8,1x1,Yes,"The sheer brilliance and diversity found in the aquatic underworld never cease to amaze me. This zebra turkeyfish is as stunning to gaze upon as it is deadly. Those spines that are part of its defining physique are chock-full of venom. Fortunately, zebra turkeyfish are not susceptible to another's venom. Though solitary, I imagine they give one another a mean fin bump when passing each other by.","I caught a zebra turkeyfish! Land, air, water--make up your mind!",71.0,Pet,Red,Black,Fluorescent,Fish44
