,Name,Species,Gender,Personality,Subtype,Hobby,Birthday,Style 1,Style 2,Color 1,Color 2,Type
262,Paolo,Elephant,Male,Lazy,A,Nature,1900-05-05,Simple,Elegant,Gray,Light blue,Mammal
263,Papi,Horse,Male,Lazy,A,Nature,1900-01-10,Simple,Simple,Orange,Light blue,Mammal
264,Pashmina,Goat,Female,Big Sister,A,Music,1900-12-26,Cool,Elegant,Red,Colorful,Mammal
265,Pate,Duck,Female,Peppy,B,Fashion,1900-02-23,Simple,Cute,Yellow,White,Bird
266,Patty,Cow,Female,Peppy,B,Fashion,1900-05-10,Simple,Cute,Orange,Red,Mammal
267,Paula,Bear,Female,Big Sister,B,Fitness,1900-03-22,Cute,Active,Orange,Green,Mammal
268,Peaches,Horse,Female,Normal,B,Education,1900-11-28,Cute,Simple,Colorful,Light blue,Mammal
269,Peanut,Squirrel,Female,Peppy,B,Fashion,1900-06-08,Cute,Cute,Red,Colorful,Mammal
270,Pecan,Squirrel,Female,Snooty,B,Fashion,1900-09-10,Elegant,Gorgeous,Purple,Beige,Mammal
271,Peck,Bird,Male,Jock,A,Play,1900-07-25,Simple,Active,Beige,Red,Bird
272,Peewee,Gorilla,Male,Cranky,B,Fitness,1900-09-11,Active,Cool,Orange,Blue,Mammal
273,Peggy,Pig,Female,Peppy,B,Fashion,1900-05-23,Cute,Active,Blue,Red,Mammal
274,Pekoe,Cub,Female,Normal,B,Nature,1900-05-18,Elegant,Cute,Red,Beige,Mammal
275,Penelope,Mouse,Female,Peppy,A,Fashion,1900-02-05,Cute,Gorgeous,Pink,Red,Mammal
276,Phil,Ostrich,Male,Smug,A,Music,1900-11-27,Elegant,Cool,Green,Red,Bird
277,Phoebe,Ostrich,Female,Big Sister,A,Fitness,1900-04-22,Gorgeous,Cool,Black,Red,Bird
278,Pierce,Eagle,Male,Jock,B,Fitness,1900-01-08,Elegant,Active,Orange,Yellow,Bird
279,Pietro,Sheep,Male,Smug,A,Music,1900-04-19,Gorgeous,Simple,Colorful,Red,Mammal
280,Pinky,Bear,Female,Peppy,B,Fashion,1900-09-09,Cute,Simple,Red,Pink,Mammal
281,Piper,Bird,Female,Peppy,A,Play,1900-04-18,Elegant,Gorgeous,Black,White,Bird
282,Pippy,Rabbit,Female,Peppy,B,Fashion,1900-06-14,Cute,Simple,Green,Brown,Mammal
283,Plucky,Chicken,Female,Big Sister,A,Play,1900-10-12,Cool,Simple,Light blue,Yellow,Bird
284,Pompom,Duck,Female,Peppy,B,Music,1900-02-11,Cute,Simple,Pink,Light blue,Bird
285,Poncho,Cub,Male,Jock,B,Fitness,1900-01-02,Simple,Simple,Orange,Yellow,Mammal
286,Poppy,Squirrel,Female,Normal,B,Education,1900-08-05,Cute,Elegant,Green,Yellow,Mammal
287,Portia,Dog,Female,Snooty,B,Fashion,1900-10-25,Elegant,Gorgeous,Purple,Black,Mammal
288,Prince,Frog,Male,Lazy,B,Play,1900-07-21,Simple,Active,Yellow,White,Amphibian
289,Puck,Penguin,Male,Lazy,B,Fitness,1900-02-21,Active,Simple,Blue,Red,Bird
290,Puddles,Frog,Female,Peppy,B,Fashion,1900-01-13,Cute,Gorgeous,Green,Pink,Amphibian
291,Pudge,Cub,Male,Lazy,B,Play,1900-06-11,Simple,Simple,Green,Blue,Mammal
292,Punchy,Cat,Male,Lazy,B,Play,1900-04-11,Simple,Simple,Blue,Light blue,Mammal
293,Purrl,Cat,Female,Snooty,B,Fashion,1900-05-29,Cool,Elegant,Gray,Blue,Mammal
294,Queenie,Ostrich,Female,Snooty,B,Fashion,1900-11-13,Gorgeous,Elegant,Black,Gray,Bird
295,Quillson,Duck,Male,Smug,A,Music,1900-12-22,Elegant,Cool,Beige,Orange,Bird
296,Raddle,Frog,Male,Lazy,A,Nature,1900-06-06,Elegant,Simple,White,Gray,Amphibian
297,Rasher,Pig,Male,Cranky,B,Music,1900-04-07,Cool,Simple,Blue,Black,Mammal
298,Raymond,Cat,Male,Smug,B,Nature,1900-10-01,Elegant,Cool,Black,Gray,Mammal
299,Renée,Rhino,Female,Big Sister,A,Music,1900-05-28,Cool,Active,Purple,Yellow,Mammal
300,Reneigh,Horse,Female,Big Sister,A,Play,1900-06-04,Cool,Gorgeous,Black,Purple,Mammal
301,Rex,Lion,Male,Lazy,A,Nature,1900-07-24,Simple,Cute,Blue,Light blue,Mammal
302,Rhonda,Rhino,Female,Normal,B,Music,1900-01-24,Elegant,Gorgeous,Purple,Black,Mammal
303,Ribbot,Frog,Male,Jock,B,Fitness,1900-02-13,Simple,Active,Blue,Light blue,Amphibian
304,Ricky,Squirrel,Male,Cranky,B,Education,1900-09-14,Cool,Simple,Blue,Red,Mammal
305,Rizzo,Mouse,Male,Cranky,B,Education,1900-01-17,Simple,Cool,Black,Gray,Mammal
306,Roald,Penguin,Male,Jock,B,Fitness,1900-01-05,Active,Simple,Red,Yellow,Bird
307,Robin,Bird,Female,Snooty,B,Fashion,1900-12-04,Elegant,Cool,Light blue,Purple,Bird
308,Rocco,Hippo,Male,Cranky,B,Education,1900-08-18,Simple,Cool,Yellow,Black,Mammal
309,Rocket,Gorilla,Female,Big Sister,B,Fitness,1900-04-14,Active,Cool,Pink,Red,Mammal
310,Rod,Mouse,Male,Jock,B,Fitness,1900-08-14,Active,Cool,Blue,Light blue,Mammal
311,Rodeo,Bull,Male,Lazy,B,Fitness,1900-10-29,Simple,Cool,Black,Red,Mammal
312,Rodney,Hamster,Male,Smug,A,Music,1900-11-10,Gorgeous,Cool,Pink,Colorful,Mammal
313,Rolf,Tiger,Male,Cranky,B,Fitness,1900-08-22,Cool,Active,Blue,Black,Mammal
314,Rooney,Kangaroo,Male,Cranky,A,Fitness,1900-12-01,Active,Active,Gray,Black,Mammal
315,Rory,Lion,Male,Jock,A,Music,1900-08-07,Simple,Active,Blue,Red,Mammal
316,Roscoe,Horse,Male,Cranky,B,Music,1900-06-16,Cool,Gorgeous,Black,Gray,Mammal
317,Rosie,Cat,Female,Peppy,A,Music,1900-02-27,Cute,Cute,Pink,Red,Mammal
318,Rowan,Tiger,Male,Jock,B,Fitness,1900-08-26,Active,Simple,Light blue,Gray,Mammal
319,Ruby,Rabbit,Female,Peppy,B,Nature,1900-12-25,Cute,Active,Light blue,Pink,Mammal
320,Rudy,Cat,Male,Jock,A,Play,1900-12-20,Active,Simple,Yellow,Beige,Mammal
321,Sally,Squirrel,Female,Normal,B,Music,1900-06-19,Simple,Elegant,White,Beige,Mammal
322,Samson,Mouse,Male,Jock,B,Fitness,1900-07-05,Simple,Active,Red,Yellow,Mammal
323,Sandy,Ostrich,Female,Normal,A,Nature,1900-10-21,Simple,Cool,Light blue,White,Bird
324,Savannah,Horse,Female,Normal,B,Music,1900-01-25,Cool,Simple,Light blue,Blue,Mammal
325,Scoot,Duck,Male,Jock,B,Fitness,1900-06-13,Active,Simple,Beige,Blue,Bird
326,Shari,Monkey,Female,Big Sister,A,Music,1900-04-10,Cute,Active,Light blue,Yellow,Mammal
327,Sheldon,Squirrel,Male,Jock,A,Play,1900-02-26,Active,Cool,Green,Yellow,Mammal
328,Shep,Dog,Male,Smug,A,Education,1900-11-24,Simple,Cool,Light blue,Blue,Mammal
329,Sherb,Goat,Male,Lazy,A,Nature,1900-01-18,Simple,Cute,Gray,Blue,Mammal
330,Simon,Monkey,Male,Lazy,B,Play,1900-01-19,Simple,Active,Red,Colorful,Mammal
331,Skye,Wolf,Female,Normal,A,Music,1900-03-24,Cute,Cute,Blue,White,Mammal
332,Sly,Alligator,Male,Jock,A,Play,1900-11-15,Cool,Simple,Brown,Green,Amphibian
333,Snake,Rabbit,Male,Jock,B,Fitness,1900-11-03,Active,Simple,Black,Blue,Mammal
334,Snooty,Anteater,Female,Snooty,A,Education,1900-10-24,Simple,Simple,Green,Yellow,Mammal
335,Soleil,Hamster,Female,Snooty,A,Education,1900-08-09,Cool,Gorgeous,Red,Yellow,Mammal
336,Sparro,Bird,Male,Jock,A,Play,1900-11-20,Active,Simple,Green,Gray,Bird
337,Spike,Rhino,Male,Cranky,A,Nature,1900-06-17,Cool,Gorgeous,Black,Gray,Mammal
338,Spork,Pig,Male,Lazy,B,Play,1900-09-03,Simple,Active,Green,Colorful,Mammal
339,Sprinkle,Penguin,Female,Peppy,A,Play,1900-02-20,Cute,Elegant,Light blue,White,Bird
340,Sprocket,Ostrich,Male,Jock,A,Music,1900-12-01,Simple,Active,Orange,Green,Bird
341,Static,Squirrel,Male,Cranky,B,Music,1900-07-09,Cool,Active,Black,Yellow,Mammal
342,Stella,Sheep,Female,Normal,A,Nature,1900-04-09,Simple,Simple,Yellow,Beige,Mammal
343,Sterling,Eagle,Male,Jock,B,Fitness,1900-12-11,Simple,Elegant,Blue,Red,Bird
344,Stinky,Cat,Male,Jock,B,Fitness,1900-08-17,Active,Simple,Red,Blue,Mammal
345,Stitches,Cub,Male,Lazy,B,Play,1900-02-10,Simple,Cute,Colorful,White,Mammal
346,Stu,Bull,Male,Lazy,A,Nature,1900-04-20,Simple,Simple,Brown,Beige,Mammal
347,Sydney,Koala,Female,Normal,B,Music,1900-06-21,Cute,Simple,Beige,Yellow,Mammal
348,Sylvana,Squirrel,Female,Normal,A,Nature,1900-10-22,Cute,Simple,Green,Purple,Mammal
349,Sylvia,Kangaroo,Female,Big Sister,B,Music,1900-05-03,Simple,Gorgeous,Yellow,Green,Mammal
350,T-Bone,Bull,Male,Cranky,B,Education,1900-05-20,Cool,Simple,Blue,Black,Mammal
351,Tabby,Cat,Female,Peppy,B,Music,1900-08-13,Active,Cool,Black,Gray,Mammal
352,Tad,Frog,Male,Jock,A,Play,1900-08-03,Active,Simple,Yellow,Colorful,Amphibian
353,Tammi,Monkey,Female,Peppy,B,Fashion,1900-04-02,Cute,Active,Purple,Green,Mammal
354,Tammy,Cub,Female,Big Sister,A,Play,1900-06-23,Cool,Active,Red,Purple,Mammal
355,Tangy,Cat,Female,Peppy,B,Music,1900-06-17,Simple,Cute,Green,Yellow,Mammal
356,Tank,Rhino,Male,Jock,B,Fitness,1900-05-06,Active,Simple,Red,Green,Mammal
357,Tasha,Squirrel,Female,Snooty,A,Fitness,1900-11-30,Elegant,Gorgeous,Beige,Gray,Mammal
358,Teddy,Bear,Male,Jock,B,Fitness,1900-09-26,Simple,Simple,Yellow,Orange,Mammal
359,Tex,Penguin,Male,Smug,A,Music,1900-10-06,Cool,Elegant,Black,Gray,Bird
360,Tia,Elephant,Female,Normal,A,Nature,1900-11-18,Cute,Elegant,Black,White,Mammal
361,Tiffany,Rabbit,Female,Snooty,B,Fashion,1900-01-09,Gorgeous,Cool,Black,Red,Mammal
362,Timbra,Sheep,Female,Snooty,A,Education,1900-10-21,Elegant,Gorgeous,Green,Brown,Mammal
363,Tipper,Cow,Female,Snooty,B,Fashion,1900-08-25,Gorgeous,Cute,Colorful,Pink,Mammal
364,Tom,Cat,Male,Cranky,B,Education,1900-12-10,Cool,Simple,Black,Gray,Mammal
365,Truffles,Pig,Female,Peppy,B,Fashion,1900-07-28,Cute,Gorgeous,Green,Red,Mammal
366,Tucker,Elephant,Male,Lazy,A,Nature,1900-09-07,Active,Simple,Yellow,Orange,Mammal
367,Tutu,Bear,Female,Peppy,B,Fashion,1900-09-15,Cute,Simple,Pink,Red,Mammal
368,Twiggy,Bird,Female,Peppy,B,Fashion,1900-07-13,Simple,Cute,Pink,Blue,Bird
369,Tybalt,Tiger,Male,Jock,A,Play,1900-08-19,Active,Simple,Blue,Purple,Mammal
370,Ursala,Bear,Female,Big Sister,A,Music,1900-01-16,Simple,Cute,Red,Orange,Mammal
371,Velma,Goat,Female,Snooty,B,Education,1900-01-14,Elegant,Gorgeous,Light blue,Purple,Mammal
372,Vesta,Sheep,Female,Normal,B,Fashion,1900-04-16,Simple,Cute,Orange,Red,Mammal
373,Vic,Bull,Male,Cranky,A,Fitness,1900-12-29,Cool,Active,Light blue,Blue,Mammal
374,Victoria,Horse,Female,Peppy,B,Fitness,1900-07-11,Active,Simple,Yellow,Orange,Mammal
375,Violet,Gorilla,Female,Snooty,B,Fitness,1900-09-01,Gorgeous,Cool,Purple,Pink,Mammal
376,Vivian,Wolf,Female,Snooty,A,Education,1900-01-26,Gorgeous,Elegant,Gray,Purple,Mammal
377,Vladimir,Cub,Male,Cranky,B,Play,1900-08-02,Simple,Cool,Yellow,Colorful,Mammal
378,Wade,Penguin,Male,Lazy,A,Nature,1900-10-30,Simple,Gorgeous,Light blue,Blue,Bird
379,Walker,Dog,Male,Lazy,B,Play,1900-06-10,Simple,Simple,Orange,Red,Mammal
380,Walt,Kangaroo,Male,Cranky,A,Fitness,1900-04-24,Cool,Cool,Black,Gray,Mammal
381,Wart Jr.,Frog,Male,Cranky,B,Education,1900-08-21,Simple,Simple,Blue,Purple,Amphibian
382,Weber,Duck,Male,Lazy,A,Nature,1900-06-30,Cool,Simple,Blue,Black,Bird
383,Wendy,Sheep,Female,Peppy,B,Fashion,1900-08-15,Cool,Gorgeous,Red,Green,Mammal
384,Whitney,Wolf,Female,Snooty,B,Fashion,1900-09-17,Elegant,Cool,Blue,Light blue,Mammal
385,Willow,Sheep,Female,Snooty,B,Fashion,1900-11-26,Cute,Gorgeous,White,Pink,Mammal
386,Winnie,Horse,Female,Peppy,B,Fashion,1900-01-31,Cool,Simple,White,Gray,Mammal
387,Wolfgang,Wolf,Male,Cranky,B,Education,1900-11-25,Cool,Active,Black,Green,Mammal
388,Yuka,Koala,Female,Snooty,B,Fashion,1900-07-20,Cool,Elegant,Orange,Yellow,Mammal
389,Zell,Deer,Male,Smug,A,Music,1900-06-07,Cool,Gorgeous,Purple,Gray,Mammal
390,Zucker,Octopus,Male,Lazy,A,Nature,1900-03-08,Simple,Cute,Blue,Yellow,Amphibian
